[2026-04-25T08:44:41.330+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-25T08:44:26.980274+00:00 [queued]>
[2026-04-25T08:44:41.351+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-25T08:44:26.980274+00:00 [queued]>
[2026-04-25T08:44:41.354+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T08:44:41.356+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-25T08:44:41.359+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T08:44:41.386+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-25 08:44:26.980274+00:00
[2026-04-25T08:44:41.394+0000] {standard_task_runner.py:52} INFO - Started process 112 to run task
[2026-04-25T08:44:41.403+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'manual__2026-04-25T08:44:26.980274+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmpes2asiep', '--error-file', '/tmp/tmpi4q4jov2']
[2026-04-25T08:44:41.406+0000] {standard_task_runner.py:80} INFO - Job 8: Subtask post_to_elasticsearch
[2026-04-25T08:44:41.527+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-25T08:44:26.980274+00:00 [running]> on host f8f4dc7a8fb4
[2026-04-25T08:44:41.647+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-25T08:44:26.980274+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2026-04-25T08:44:26.980274+00:00
[2026-04-25T08:44:42.132+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:201 request:0.432s]
[2026-04-25T08:44:42.145+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:201 request:0.009s]
[2026-04-25T08:44:42.158+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:201 request:0.009s]
[2026-04-25T08:44:42.171+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:201 request:0.009s]
