[2026-04-25T09:09:01.027+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-25T09:08:44.842632+00:00 [queued]>
[2026-04-25T09:09:01.046+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-25T09:08:44.842632+00:00 [queued]>
[2026-04-25T09:09:01.048+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:09:01.050+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-25T09:09:01.052+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:09:01.078+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-25 09:08:44.842632+00:00
[2026-04-25T09:09:01.088+0000] {standard_task_runner.py:52} INFO - Started process 224 to run task
[2026-04-25T09:09:01.098+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'manual__2026-04-25T09:08:44.842632+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmplwff1x9i', '--error-file', '/tmp/tmpipw6y1i8']
[2026-04-25T09:09:01.101+0000] {standard_task_runner.py:80} INFO - Job 11: Subtask post_to_elasticsearch
[2026-04-25T09:09:01.221+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-25T09:08:44.842632+00:00 [running]> on host f8f4dc7a8fb4
[2026-04-25T09:09:01.354+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-25T09:08:44.842632+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2026-04-25T09:08:44.842632+00:00
[2026-04-25T09:09:01.457+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:200 request:0.028s]
[2026-04-25T09:09:01.465+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:200 request:0.006s]
[2026-04-25T09:09:01.475+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:200 request:0.007s]
[2026-04-25T09:09:01.485+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:200 request:0.007s]
[2026-04-25T09:09:01.493+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/5 [status:200 request:0.005s]
[2026-04-25T09:09:01.501+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/6 [status:200 request:0.006s]
