[2026-04-26T12:06:52.344+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-26T12:06:31.671083+00:00 [queued]>
[2026-04-26T12:06:52.372+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-26T12:06:31.671083+00:00 [queued]>
[2026-04-26T12:06:52.374+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-26T12:06:52.376+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-26T12:06:52.379+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-26T12:06:52.401+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-26 12:06:31.671083+00:00
[2026-04-26T12:06:52.414+0000] {standard_task_runner.py:52} INFO - Started process 52 to run task
[2026-04-26T12:06:52.423+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'manual__2026-04-26T12:06:31.671083+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmpd63ceo0r', '--error-file', '/tmp/tmp4ugehu7a']
[2026-04-26T12:06:52.427+0000] {standard_task_runner.py:80} INFO - Job 25: Subtask post_to_elasticsearch
[2026-04-26T12:06:52.543+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-26T12:06:31.671083+00:00 [running]> on host ac5c19c818fb
[2026-04-26T12:06:52.717+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-26T12:06:31.671083+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2026-04-26T12:06:31.671083+00:00
[2026-04-26T12:06:53.102+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:201 request:0.323s]
[2026-04-26T12:06:53.114+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:201 request:0.009s]
[2026-04-26T12:06:53.127+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:201 request:0.010s]
[2026-04-26T12:06:53.144+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:201 request:0.012s]
[2026-04-26T12:06:53.160+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/5 [status:201 request:0.013s]
[2026-04-26T12:06:53.176+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/6 [status:201 request:0.011s]
[2026-04-26T12:06:53.192+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/7 [status:201 request:0.012s]
[2026-04-26T12:06:53.208+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/8 [status:201 request:0.011s]
[2026-04-26T12:06:53.225+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/9 [status:201 request:0.014s]
[2026-04-26T12:06:53.240+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/10 [status:201 request:0.011s]
[2026-04-26T12:06:53.252+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/11 [status:201 request:0.010s]
[2026-04-26T12:06:53.268+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/12 [status:201 request:0.013s]
[2026-04-26T12:06:53.281+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/13 [status:201 request:0.010s]
[2026-04-26T12:06:53.294+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/14 [status:201 request:0.010s]
[2026-04-26T12:06:53.313+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/15 [status:201 request:0.016s]
[2026-04-26T12:06:53.331+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/16 [status:201 request:0.012s]
[2026-04-26T12:06:53.342+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/17 [status:201 request:0.008s]
[2026-04-26T12:06:53.354+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/18 [status:201 request:0.010s]
[2026-04-26T12:06:53.363+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/19 [status:201 request:0.007s]
[2026-04-26T12:06:53.378+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/20 [status:201 request:0.011s]
[2026-04-26T12:06:53.394+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/21 [status:201 request:0.012s]
[2026-04-26T12:06:53.409+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/22 [status:201 request:0.011s]
[2026-04-26T12:06:53.423+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/23 [status:201 request:0.010s]
