[2026-04-26T12:41:52.749+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-26T12:41:31.754131+00:00 [queued]>
[2026-04-26T12:41:52.770+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-26T12:41:31.754131+00:00 [queued]>
[2026-04-26T12:41:52.774+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-26T12:41:52.776+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-26T12:41:52.778+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-26T12:41:52.803+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-26 12:41:31.754131+00:00
[2026-04-26T12:41:52.811+0000] {standard_task_runner.py:52} INFO - Started process 64 to run task
[2026-04-26T12:41:52.819+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'manual__2026-04-26T12:41:31.754131+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmpr_1jiuoo', '--error-file', '/tmp/tmpi2r1xu5i']
[2026-04-26T12:41:52.824+0000] {standard_task_runner.py:80} INFO - Job 29: Subtask post_to_elasticsearch
[2026-04-26T12:41:52.946+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch manual__2026-04-26T12:41:31.754131+00:00 [running]> on host b754c159f5ea
[2026-04-26T12:41:53.089+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-26T12:41:31.754131+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2026-04-26T12:41:31.754131+00:00
[2026-04-26T12:41:53.474+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:201 request:0.313s]
[2026-04-26T12:41:53.491+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:201 request:0.014s]
[2026-04-26T12:41:53.509+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:201 request:0.014s]
[2026-04-26T12:41:53.524+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:201 request:0.011s]
[2026-04-26T12:41:53.536+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/5 [status:201 request:0.009s]
