[2026-04-25T09:11:01.840+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-18T09:30:00+00:00 [queued]>
[2026-04-25T09:11:01.857+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-18T09:30:00+00:00 [queued]>
[2026-04-25T09:11:01.859+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:11:01.861+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-25T09:11:01.863+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:11:01.887+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-18 09:30:00+00:00
[2026-04-25T09:11:01.894+0000] {standard_task_runner.py:52} INFO - Started process 250 to run task
[2026-04-25T09:11:01.902+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'scheduled__2026-04-18T09:30:00+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmp8lvdd4pp', '--error-file', '/tmp/tmp0gobctl0']
[2026-04-25T09:11:01.905+0000] {standard_task_runner.py:80} INFO - Job 14: Subtask post_to_elasticsearch
[2026-04-25T09:11:02.018+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-18T09:30:00+00:00 [running]> on host f8f4dc7a8fb4
[2026-04-25T09:11:02.121+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-18T09:30:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2026-04-18T09:30:00+00:00
[2026-04-25T09:11:02.187+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:200 request:0.013s]
[2026-04-25T09:11:02.194+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:200 request:0.005s]
[2026-04-25T09:11:02.201+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:200 request:0.005s]
[2026-04-25T09:11:02.208+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:200 request:0.005s]
[2026-04-25T09:11:02.216+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/5 [status:200 request:0.005s]
[2026-04-25T09:11:02.224+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/6 [status:200 request:0.006s]
[2026-04-25T09:11:02.231+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/7 [status:200 request:0.005s]
[2026-04-25T09:11:02.238+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/8 [status:200 request:0.005s]
[2026-04-25T09:11:02.245+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/9 [status:200 request:0.005s]
[2026-04-25T09:11:02.252+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/10 [status:200 request:0.005s]
[2026-04-25T09:11:02.261+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/11 [status:200 request:0.006s]
[2026-04-25T09:11:02.268+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/12 [status:200 request:0.005s]
[2026-04-25T09:11:02.276+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/13 [status:200 request:0.006s]
[2026-04-25T09:11:02.284+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/14 [status:200 request:0.005s]
[2026-04-25T09:11:02.291+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/15 [status:200 request:0.005s]
[2026-04-25T09:11:02.298+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/16 [status:200 request:0.005s]
[2026-04-25T09:11:02.307+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/17 [status:200 request:0.006s]
[2026-04-25T09:11:02.317+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/18 [status:200 request:0.007s]
[2026-04-25T09:11:02.325+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/19 [status:200 request:0.005s]
[2026-04-25T09:11:02.332+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/20 [status:200 request:0.005s]
[2026-04-25T09:11:02.339+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/21 [status:200 request:0.005s]
[2026-04-25T09:11:02.347+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/22 [status:200 request:0.005s]
[2026-04-25T09:11:02.354+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/23 [status:200 request:0.005s]
[2026-04-25T09:11:02.362+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/24 [status:200 request:0.005s]
[2026-04-25T09:11:02.369+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/25 [status:200 request:0.005s]
[2026-04-25T09:11:02.377+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/26 [status:200 request:0.005s]
[2026-04-25T09:11:02.385+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/27 [status:200 request:0.006s]
[2026-04-25T09:11:02.392+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/28 [status:200 request:0.005s]
[2026-04-25T09:11:02.400+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/29 [status:200 request:0.005s]
[2026-04-25T09:11:02.408+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/30 [status:200 request:0.006s]
[2026-04-25T09:11:02.417+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/31 [status:200 request:0.006s]
[2026-04-25T09:11:02.424+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/32 [status:200 request:0.005s]
[2026-04-25T09:11:02.434+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/33 [status:200 request:0.006s]
[2026-04-25T09:11:02.442+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/34 [status:200 request:0.006s]
[2026-04-25T09:11:02.450+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/35 [status:200 request:0.004s]
[2026-04-25T09:11:02.458+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/36 [status:200 request:0.006s]
[2026-04-25T09:11:02.467+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/37 [status:200 request:0.006s]
[2026-04-25T09:11:02.475+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/38 [status:200 request:0.004s]
[2026-04-25T09:11:02.482+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/39 [status:200 request:0.005s]
[2026-04-25T09:11:02.489+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/40 [status:200 request:0.004s]
[2026-04-25T09:11:02.496+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/41 [status:200 request:0.005s]
[2026-04-25T09:11:02.503+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/42 [status:200 request:0.005s]
[2026-04-25T09:11:02.512+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/43 [status:200 request:0.005s]
[2026-04-25T09:11:02.521+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/44 [status:200 request:0.005s]
[2026-04-25T09:11:02.534+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/45 [status:200 request:0.008s]
[2026-04-25T09:11:02.543+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/46 [status:200 request:0.005s]
[2026-04-25T09:11:02.551+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/47 [status:200 request:0.005s]
[2026-04-25T09:11:02.559+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/48 [status:200 request:0.005s]
[2026-04-25T09:11:02.566+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/49 [status:200 request:0.005s]
[2026-04-25T09:11:02.573+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/50 [status:200 request:0.005s]
[2026-04-25T09:11:02.580+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/51 [status:200 request:0.005s]
[2026-04-25T09:11:02.588+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/52 [status:200 request:0.005s]
[2026-04-25T09:11:02.596+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/53 [status:200 request:0.005s]
[2026-04-25T09:11:02.604+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/54 [status:200 request:0.006s]
[2026-04-25T09:11:02.612+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/55 [status:200 request:0.005s]
[2026-04-25T09:11:02.619+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/56 [status:200 request:0.004s]
[2026-04-25T09:11:02.628+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/57 [status:200 request:0.006s]
[2026-04-25T09:11:02.635+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/58 [status:200 request:0.004s]
[2026-04-25T09:11:02.642+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/59 [status:200 request:0.005s]
[2026-04-25T09:11:02.648+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/60 [status:200 request:0.005s]
[2026-04-25T09:11:02.657+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/61 [status:200 request:0.006s]
[2026-04-25T09:11:02.664+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/62 [status:200 request:0.004s]
[2026-04-25T09:11:02.672+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/63 [status:200 request:0.006s]
[2026-04-25T09:11:02.681+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/64 [status:200 request:0.006s]
[2026-04-25T09:11:02.688+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/65 [status:200 request:0.005s]
[2026-04-25T09:11:02.696+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/66 [status:200 request:0.005s]
[2026-04-25T09:11:02.704+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/67 [status:200 request:0.005s]
[2026-04-25T09:11:02.712+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/68 [status:200 request:0.005s]
[2026-04-25T09:11:02.719+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/69 [status:200 request:0.005s]
[2026-04-25T09:11:02.727+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/70 [status:200 request:0.006s]
[2026-04-25T09:11:02.734+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/71 [status:200 request:0.004s]
[2026-04-25T09:11:02.741+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/72 [status:200 request:0.005s]
[2026-04-25T09:11:02.753+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/73 [status:200 request:0.009s]
[2026-04-25T09:11:02.763+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/74 [status:200 request:0.005s]
[2026-04-25T09:11:02.771+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/75 [status:200 request:0.005s]
[2026-04-25T09:11:02.779+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/76 [status:200 request:0.005s]
[2026-04-25T09:11:02.787+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/77 [status:200 request:0.005s]
