[2026-04-25T09:20:18.155+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-25T09:10:00+00:00 [queued]>
[2026-04-25T09:20:18.185+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-25T09:10:00+00:00 [queued]>
[2026-04-25T09:20:18.187+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:20:18.189+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-25T09:20:18.191+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:20:18.224+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-25 09:10:00+00:00
[2026-04-25T09:20:18.235+0000] {standard_task_runner.py:52} INFO - Started process 60 to run task
[2026-04-25T09:20:18.251+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'scheduled__2026-04-25T09:10:00+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmp7qxpyxn3', '--error-file', '/tmp/tmptlstku4b']
[2026-04-25T09:20:18.257+0000] {standard_task_runner.py:80} INFO - Job 18: Subtask post_to_elasticsearch
[2026-04-25T09:20:19.143+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-25T09:10:00+00:00 [running]> on host f8f4dc7a8fb4
[2026-04-25T09:20:19.353+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-25T09:10:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2026-04-25T09:10:00+00:00
[2026-04-25T09:20:19.873+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:200 request:0.279s]
[2026-04-25T09:20:19.895+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:200 request:0.018s]
[2026-04-25T09:20:19.911+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:200 request:0.011s]
[2026-04-25T09:20:19.928+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:200 request:0.013s]
[2026-04-25T09:20:19.944+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/5 [status:200 request:0.008s]
[2026-04-25T09:20:19.958+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/6 [status:200 request:0.010s]
[2026-04-25T09:20:19.969+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/7 [status:200 request:0.008s]
[2026-04-25T09:20:20.018+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/8 [status:200 request:0.007s]
[2026-04-25T09:20:20.032+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/9 [status:200 request:0.009s]
[2026-04-25T09:20:20.048+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/10 [status:200 request:0.011s]
[2026-04-25T09:20:20.061+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/11 [status:200 request:0.008s]
[2026-04-25T09:20:20.075+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/12 [status:200 request:0.011s]
[2026-04-25T09:20:20.087+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/13 [status:200 request:0.009s]
[2026-04-25T09:20:20.100+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/14 [status:200 request:0.009s]
[2026-04-25T09:20:20.113+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/15 [status:200 request:0.010s]
[2026-04-25T09:20:20.129+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/16 [status:200 request:0.011s]
[2026-04-25T09:20:20.175+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/17 [status:200 request:0.024s]
[2026-04-25T09:20:20.202+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/18 [status:200 request:0.019s]
[2026-04-25T09:20:20.251+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/19 [status:200 request:0.037s]
[2026-04-25T09:20:20.296+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/20 [status:200 request:0.033s]
[2026-04-25T09:20:20.324+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/21 [status:200 request:0.023s]
[2026-04-25T09:20:20.337+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/22 [status:200 request:0.008s]
[2026-04-25T09:20:20.350+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/23 [status:200 request:0.007s]
[2026-04-25T09:20:20.363+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/24 [status:200 request:0.009s]
[2026-04-25T09:20:20.378+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/25 [status:200 request:0.011s]
[2026-04-25T09:20:20.394+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/26 [status:200 request:0.009s]
[2026-04-25T09:20:20.408+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/27 [status:200 request:0.010s]
[2026-04-25T09:20:20.420+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/28 [status:200 request:0.008s]
[2026-04-25T09:20:20.434+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/29 [status:200 request:0.009s]
[2026-04-25T09:20:20.452+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/30 [status:200 request:0.009s]
[2026-04-25T09:20:20.593+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/31 [status:200 request:0.134s]
[2026-04-25T09:20:20.613+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/32 [status:200 request:0.007s]
[2026-04-25T09:20:20.625+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/33 [status:200 request:0.009s]
[2026-04-25T09:20:20.637+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/34 [status:200 request:0.008s]
[2026-04-25T09:20:20.651+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/35 [status:200 request:0.009s]
[2026-04-25T09:20:20.683+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/36 [status:200 request:0.025s]
[2026-04-25T09:20:20.704+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/37 [status:200 request:0.011s]
[2026-04-25T09:20:20.717+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/38 [status:200 request:0.008s]
[2026-04-25T09:20:20.732+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/39 [status:200 request:0.011s]
[2026-04-25T09:20:20.745+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/40 [status:200 request:0.008s]
[2026-04-25T09:20:20.759+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/41 [status:200 request:0.011s]
