[2026-04-25T09:30:19.655+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-25T09:20:00+00:00 [queued]>
[2026-04-25T09:30:19.690+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-25T09:20:00+00:00 [queued]>
[2026-04-25T09:30:19.694+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:30:19.700+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 2
[2026-04-25T09:30:19.703+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2026-04-25T09:30:19.740+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2026-04-25 09:20:00+00:00
[2026-04-25T09:30:19.750+0000] {standard_task_runner.py:52} INFO - Started process 116 to run task
[2026-04-25T09:30:19.763+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'P2M3_soraya_intan_DAG', 'post_to_elasticsearch', 'scheduled__2026-04-25T09:20:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_soraya_intan_DAG.py', '--cfg-path', '/tmp/tmp0niioiql', '--error-file', '/tmp/tmpjrrfp7vc']
[2026-04-25T09:30:19.765+0000] {standard_task_runner.py:80} INFO - Job 21: Subtask post_to_elasticsearch
[2026-04-25T09:30:19.951+0000] {task_command.py:371} INFO - Running <TaskInstance: P2M3_soraya_intan_DAG.post_to_elasticsearch scheduled__2026-04-25T09:20:00+00:00 [running]> on host f8f4dc7a8fb4
[2026-04-25T09:30:20.151+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=soraya_intan
AIRFLOW_CTX_DAG_ID=P2M3_soraya_intan_DAG
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2026-04-25T09:20:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2026-04-25T09:20:00+00:00
[2026-04-25T09:30:20.316+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/1 [status:200 request:0.060s]
[2026-04-25T09:30:20.330+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/2 [status:200 request:0.011s]
[2026-04-25T09:30:20.340+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/3 [status:200 request:0.007s]
[2026-04-25T09:30:20.357+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/4 [status:200 request:0.009s]
[2026-04-25T09:30:20.373+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/5 [status:200 request:0.009s]
[2026-04-25T09:30:20.388+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/6 [status:200 request:0.008s]
[2026-04-25T09:30:20.403+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/7 [status:200 request:0.013s]
[2026-04-25T09:30:20.422+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/8 [status:200 request:0.017s]
[2026-04-25T09:30:20.444+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/9 [status:200 request:0.015s]
[2026-04-25T09:30:20.453+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/10 [status:200 request:0.006s]
[2026-04-25T09:30:20.464+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/11 [status:200 request:0.009s]
[2026-04-25T09:30:20.474+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/12 [status:200 request:0.007s]
[2026-04-25T09:30:20.484+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/13 [status:200 request:0.006s]
[2026-04-25T09:30:20.497+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/14 [status:200 request:0.010s]
[2026-04-25T09:30:20.507+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/15 [status:200 request:0.007s]
[2026-04-25T09:30:20.518+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/16 [status:200 request:0.006s]
[2026-04-25T09:30:20.531+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/17 [status:200 request:0.009s]
[2026-04-25T09:30:20.539+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/18 [status:200 request:0.005s]
[2026-04-25T09:30:20.549+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/19 [status:200 request:0.006s]
[2026-04-25T09:30:20.559+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/20 [status:200 request:0.006s]
[2026-04-25T09:30:20.568+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/21 [status:200 request:0.006s]
[2026-04-25T09:30:20.579+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/22 [status:200 request:0.008s]
[2026-04-25T09:30:20.596+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/23 [status:200 request:0.012s]
[2026-04-25T09:30:20.614+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/24 [status:200 request:0.009s]
[2026-04-25T09:30:20.628+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/25 [status:200 request:0.012s]
[2026-04-25T09:30:20.644+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/26 [status:200 request:0.012s]
[2026-04-25T09:30:20.674+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/27 [status:200 request:0.023s]
[2026-04-25T09:30:20.685+0000] {base.py:271} INFO - PUT http://elasticsearch_m3:9200/p2m3_soraya_intan/_doc/28 [status:200 request:0.005s]
